id,name                           ,genre,artist         ,image
1 ,Illmatic                       ,3    ,Nas            ,illmatic.png
2 ,Enter the Wu-Tang (36 Chambers),3    ,Wu-Tang Clan   ,enter-the-wu-tang.png
3 ,Ready To Die                   ,3    ,Notorious B.I.G,ready-to-die.png
4 ,The Marshall Mathers LP        ,3    ,Eminem         ,the-marshall-mathers-lp.png
5 ,Revolver                       ,1    ,The Beatles    ,revolver.png
6 ,Automatic for the People       ,1    ,R.E.M          ,automatic-for-the-people.png
7 ,Achtung Baby                   ,1    ,U2             ,achtung-baby.png
8 ,Thriller                       ,1    ,Michael Jackson,thriller.png
9 ,Dark Side Of The Moon          ,2    ,Pink Floyd     ,dark-side-of-the-moon.png
10,Appetite For Destruction       ,2    ,Guns N' Roses  ,appetite-for-destruction.png
11,Back In Black                  ,2    ,AC/DC          ,back-in-black.png
12,Master Of Puppets              ,2    ,Metallica      ,master-of-puppets.png
